 title_x , imdb_id , poster_path , wiki_link , title_y , original_title , is_adult , year_of_release , runtime , genres , imdb_rating , imdb_votes , story , summary , tagline , actors , wins_nominations , release_date , yt ,tplus
 22 Yards , tt9496212 , https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/22_Yards_film_poster.jpeg/220px-22_Yards_film_poster.jpeg , https://en.wikipedia.org/wiki/22_Yards , 22 Yards , 22 Yards ,0,2019,126, Sport ,5.3,124, A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer. , A dramatic portrayal of a victorious tale of a fallen cricket agent and a young cricketer. ,  , Barun Sobti|Rajit Kapur|Panchhi Bora|Kartikey Tripathi| ,  , 15 March 2019 (India) , yGfqZq3t6bA ,
 Phool (1993 film) , tt0107820 , https://upload.wikimedia.org/wikipedia/en/c/c8/Phool_%281993_film%29.jpg , https://en.wikipedia.org/wiki/Phool_(1993_film) , Phool , Phool ,0,1993,  , Romance ,5.2,88, Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son  Raju  Balram lives with his wife  Savitri and a daughter  Guddi. Both Guddi and Raju share the same day of birth  though Raju is two years older. Dharamraaj and Balram arrange their marriage so as to cement their friendship even more  much to everyone's delight. This event is blessed by Mouni Baba from the local Shiv Mandir  whose predictions have never been proved to be wrong. Dharamraaj then re-locates to Bombay as he wants to be a businessman  while Balram wants to continue farming. Raju is sent to a hostel  and then subsequently to America for further studies. Years later  Balram goes to Dharamraaj to confirm Raju and Guddi's marriage  but Dharamraaj informs him that the marriage cannot take place. Balram returns home and relays this news to his wife  who has a stroke  becomes mentally unstable and subsequently passes away. Guddi... , Farmers Dharamraaj and Balram Choudhary are two friends who live in Ram Nagar in scenic Ooty. While Dharamraaj is widowed and lives with his mom and son  Raju  Balram lives with his wife  ... ,  , Kumar Gaurav|Madhuri Dixit|Sunil Dutt|Rajendra Kumar|Shakti Kapoor|Akash Khurana|Tiku Talsania| ,  ,  , XZ8T_KrHTPM ,
 Aazmayish , tt0109031 , https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Aazmayishfilm.jpg/220px-Aazmayishfilm.jpg , https://en.wikipedia.org/wiki/Aazmayish , Aazmayish , Aazmayish ,0,1995,147, Drama ,5.2,26, Gorgeous looking Anju Khanna lives in a palatial home with her dad  and mom. Her dad  R.K.Khanna has been having labor problems at his workplace  due to a headstrong union leader named Shanker  who wants better housing and benefits for all workers  and failing which  he has declared an indefinite strike. Her dad would like her to marry Laxmikant alias Lucky Gupta  but Anju does not like him. She has met and has fallen in love with a dashing young man named Raja Singh Rathod. Although Khanna is upset with her for falling in love  he would like to meet him  to which Anju agrees to and brings Raja along to introduce him to her dad. It is then that Khanna finds out that Raja is a poor motor mechanic  and is the brother of union leader  Shanker. He asks Raja to leave  and warns Anju that if she ever sees him again  he will arrange to have Raja killed. Anju must now decide to carry on with her love-life  or obey her father and save her lover's life. , Gorgeous looking Anju Khanna lives in a palatial home with her dad  and mom. Her dad  R.K.Khanna has been having labor problems at his workplace  due to a headstrong union leader named ... , Story of two friends who happen to be father & son. , Rohit Kumar|Dharmendra|Anjali Jathar|Mohnish Bahl|Prem Chopra|Ashok Saraf|Paintal|Suhas Joshi|Sulabha Arya|Kunal Khemu|Kamaldeep|Sripradha|Suhas Bhalekar|Mehmood Jr.| ,  , 21 April 1995 (India) , 2PWKSc_830g ,
 Andolan (1995 film) , tt0112359 , https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Andolan.jpg/220px-Andolan.jpg , https://en.wikipedia.org/wiki/Andolan_(1995_film) , Andolan , Andolan ,0,1995,165, Action|Comedy|Drama ,5.2,214, Adarsh (Sanjay Dutt) and Aniket (Govinda) are two brothers. Aniket is the elder  while Adarsh is the younger one. Both go to the same college  where Aniket finds that beautiful Guddi (Mamta Kulkarni) has a crush on him. He eventually also falls in love with her. Meanwhile  Adarsh is up to college pranks and practical jokes. One of these pranks and jokes land him into trouble in a girls only hostel. When the time comes to leave college and seek a career  both brothers chose a different path. What path will Adarsh chose? What path has been chosen for Aniket already? , Adarsh (Sanjay Dutt) and Aniket (Govinda) are two brothers. Aniket is the elder  while Adarsh is the younger one. Both go to the same college  where Aniket finds that beautiful Guddi (Mamta... ,  , Ishrat Ali|Somy Ali|Divya Bharti|Sanjay Dutt|Vikram Gokhale|Govinda|Ramesh Goyal|Mohan Joshi|Kamaldeep|Mamta Kulkarni|Ghanshyam Nayak|Asha Parekh|Achyut Potdar|Rami Reddy| ,  , 3 March 1995 (India) , 4NlSfSnjPHI ,
 Mardon Wali Baat , tt0157974 , https://upload.wikimedia.org/wikipedia/en/6/6d/Mardon_Wali_Baat.jpg , https://en.wikipedia.org/wiki/Mardon_Wali_Baat , Mardon Wali Baat , Mardon Wali Baat ,0,1988,  , Action|Adventure|Comedy ,5.2,44, In trying to combat bandit Raja Sundar Singh an honest police officer Deepak is mercilessly gunned down on duty leaving his sister Seema and young son to mourn his death. Seema then decides to take revenge by writing anonymous letters to blackmail two outlaws Yadvinder Singh and Tinku into going to the target village of Sundar Singh. They both poses themselves as plain clothes police officers in the village and begins to manually prepare the villagers to combat Sundar Singh and his gang. , Dacoit Sunder Singh kills a brave police officer  Shefali's husband. To avenge his death  Shefali secretly hires two mercenaries. ,  , Dharmendra|Sanjay Dutt|Shabana Azmi|Jaya Prada|Danny Denzongpa| ,  ,  , 4sH1RvspyYM ,
 Kartoos , tt0220594 , https://upload.wikimedia.org/wikipedia/en/thumb/1/10/Kartoos.jpg/220px-Kartoos.jpg , https://en.wikipedia.org/wiki/Kartoos , Kartoos , Kartoos ,0,1999,124, Action|Crime|Thriller ,5.2,447, On 1st May  1993  a bomb explode claiming the lives of hundreds of Mumbai  India citizens with the majority being children. Terrorist Jagat Jogia claims responsibility for this outrage but unfortunately the investigating officer  Jay Suryavanshi cannot press charge or arrest Jagat as his where-about is known to be in London  England. Jay then arranges a meeting and convinces the high command to rescue dreaded criminal  Jeet Balraj from death row only to then provide Jeet with the necessary documents to travel to London and arranges living quarters for him with a motive of killing Jagat Jogia. Jeet then rename himself Raja only to meet and fall in love with Manpreet Kaur alias Mini. With Mini into the framework Jeet decides to give up his past life only to find life threatened by Jagat and Jay himself. , On 1st May  1993  a bomb explode claiming the lives of hundreds of Mumbai  India citizens with the majority being children. Terrorist Jagat Jogia claims responsibility for this outrage but ... ,  , Sanjay Dutt|Jackie Shroff|Manisha Koirala|Gulshan Grover|Anna Edwards| ,  , 7 May 1999 (India) , DL9Bd54Gwuk ,
 Aa Gale Lag Jaa (1994 film) , tt0225013 , https://upload.wikimedia.org/wikipedia/en/e/e2/Aa_Gale_Lag_Jaa_%281994%29.jpg , https://en.wikipedia.org/wiki/Aa_Gale_Lag_Jaa_(1994_film) , Aa Gale Lag Jaa , Aa Gale Lag Jaa ,0,1994,158, Romance ,5.2,87, Mamtaram lives a comfortable life with his only son  Suraj. Mamtaram is a miser. Period. He would do anything to procure money and wealth at any cost. And he would like Suraj to get married to a wealthy girl so that she can bring in a sizable dowry. His hopes rise sky high when he finds out that Suraj has fallen in love with a rich young woman named Roshni  the only daughter of Shakuntaladevi. However  Shakuntala is opposed to this marriage  and would like Roshni to get married to Sikander Khanna. But Roshni is adamant  until her mother proves that Suraj is not who he claims to be  but the son of a mere chauffeur  who was a former jailbird. Before Roshni could decide anything  people around them start to die - brutally killed by an unknown  and seemingly unstoppable assailant. , Mamtaram lives a comfortable life with his only son  Suraj. Mamtaram is a miser. Period. He would do anything to procure money and wealth at any cost. And he would like Suraj to get married... ,  , Jugal Hansraj|Urmila Matondkar|Paresh Rawal| ,  , 1 January 1994 (India) , CwOGpuTObWA ,
 Agnee (1988 film) , tt0247915 , https://upload.wikimedia.org/wikipedia/en/7/77/Agnee88film.jpg , https://en.wikipedia.org/wiki/Agnee_(1988_film) , Agnee , Agnee ,0,1988,153, Action|Drama|Romance ,5.2,22, Lecherous Shekawat is displeased with his parents as they will all their properties and estate in the name of his sister  Sonali and her husband  Pramod. Shortly after Pramod is accused of having illicit relationship with the maid servant and is held responsible for killing her alcoholic husband; to get away from the police Pramod decides to run-away but comes just in time to overhear how Shekawat had him framed so that he can acquire the properties. Pramod then find out that Sonali has given birth to a baby boy; he then abducts the baby boy and attempts to escape but eventually Shekawat's men catches up with him and throws him over-board not before he hand over his child to a couple. Shekawat then gets marry to a wealthy woman  Shobha who gives birth to a baby boy Babla. Years later Pramod's son grows up with the couple to be doctor  Amit while Babla is in love with Amit's foster sister  Ayushi. Pramod is still alive albeit in coma - Shekawat's past re-surface when Pramod enters the ... , Lecherous Shekawat is displeased with his parents as they will all their properties and estate in the name of his sister  Sonali and her husband  Pramod. Shortly after Pramod is accused of ... ,  , Mithun Chakraborty|Chunky Pandey|Amrita Singh|Mandakini|Anupam Kher|Alok Nath|Kiran Kumar|Tanuja|Asrani|Shafi Inamdar|Anjana Mumtaz|Satyendra Kapoor|Rajesh Puri|Sudhir Dalvi| ,  , 18 November 1988 (India) , JyQJHOEK3RQ ,
 Shaadi Ke Baad , tt0255593 , https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Shaadi_Ke_Baad_%281972_film%29.jpg/220px-Shaadi_Ke_Baad_%281972_film%29.jpg , https://en.wikipedia.org/wiki/Shaadi_Ke_Baad , Shaadi Ke Baad , Shaadi Ke Baad ,0,1972,134, Family ,5.2,26, Widower Bhagat Ram lives a wealthy lifestyle in a small village in India  along with his son  Shyam  who is an Advocate in Bombay  and makes a living as a Hindu Priest. He receives a marriage proposal from Choudhury Bishan Swaroop Singh for Shyam  the girl in question is Bishan's son-in-law  Raju's sister  Shobha. Hoping to get a dowry of Fifty thousand Rupees  he agrees and the marriage takes place. After the ceremony he is handed a Promissory Note  and angered he and Shyam return home  leaving a devastated Shobha and the Singh family to deal with this crisis. Raju takes some cash and jewelry  hoping to placate Bhagat  but this only angers him all the more. Shyam decides to leave for Bombay. Shortly thereafter Bhagat is informed by Advocate Govind that Shobha has eloped with an unknown lover  and her mom  Parvati  has initiated legal proceedings against him. A panic-stricken Bhagat rushes to Bombay  and is shocked to find that Shyam has lost his mental balance and is in the care of a... , Widower Bhagat Ram lives a wealthy lifestyle in a small village in India  along with his son  Shyam  who is an Advocate in Bombay  and makes a living as a Hindu Priest. He receives a ... ,  , Jeetendra|Rakhee Gulzar|Shatrughan Sinha|Shyama|Asrani|Kumari Naaz|Paintal|Leela Mishra|Tabassum|Satyajeet|C.S. Dubey|Viju Khote|Shekhar Purohit|V. Gopal| ,  ,  , Qiw23pR8cMo ,
 Purani Haveli (film) , tt0260303 ,  , https://en.wikipedia.org/wiki/Purani_Haveli_(film) , Purani Haveli , Purani Haveli ,0,1989,139, Horror ,5.2,194, After the passing away of her parents  Anita Kumar now lives with her paternal uncle  Kumar; his wife  Seema; and Seema's brother  Vikram. The family's business is taken over by Kumar  who uses some money to buy an old mansion deep in the countryside of Rana. Seema would like Anita to marry her brother  but Anita has already given her heart to Sunil  who runs a photo studio and is poor. This does not go over well with the Kumars  and they forbid her to see Sunil anymore. Then  when Kumar goes to take possession of the mansion  Anita's friends Shobha and Anand ask her if they can visit the mansion and also invite Sunil secretly. They also invite several other friends  including Sunil's assistant Manghu and travel via a bus. What the group does not know that is the mansion holds an evil secret  and that beneath the mansion  locked in a dungeon by its very own biological father  lies a monster  evil beyond imagination--and its primary diet is human meat!! , A rich family eagerly buys an abandoned mansion in a rural area  but later discover that the mansion has a very disturbing and horrifying past. ,  , Deepak Parashar|Amita Nangia|Shubha|Tej Sapru|Sikander Khan|Priti Sapru|Anil Dhawan|Shehzad Khan|Narendra Nath|Neelam Mehra|Vijay Arora|Pinchoo Kapoor|Bhushan Tiwari|Leela Mishra| ,  , 7 February 1989 (India) , oNzk2dUifSk ,
