 title_x , imdb_id , poster_path , wiki_link , title_y , original_title , is_adult , year_of_release , runtime , genres , imdb_rating , imdb_votes , story , summary , tagline , actors , wins_nominations , release_date , yt ,tplus
 Anand (1971 film) , tt0066763 , https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Anand_film.jpg/220px-Anand_film.jpg , https://en.wikipedia.org/wiki/Anand_(1971_film) , Anand , Anand ,0,1971,122, Drama|Musical ,8.8,23953, Dr Bhaskar Bannerjee is not happy with his profession as he cant save the lives of people dying of illness due to poverty.His Dr friend Kulkarni charges huge for imaginary illness of rich and uses that money to people who cant afford treatment.Things change when Anand a cancer patients enters Bhaskar's life Anand is cheerful and believes in spreading happiness to everyone as he knows he is on last stage of cancer and has few months to live.Bhaskar and Anand bond very well Anand also gets Bhaskar's love life back on track and Bhaskar doesn't want him to loose anymore.As time passes Anand's condition starts to deteriorate and everyone around him is just hoping for a miracle. , The story of a terminally ill man who wishes to live life to the full before the inevitable occurs  as told by his best friend. ,  , Rajesh Khanna|Amitabh Bachchan|Sumita Sanyal|Ramesh Deo|Seema Deo|Asit Kumar Sen|Dev Kishan|Atam Prakash|Lalita Kumari|Savita|Brahm Bhardwaj|Gurnam Singh|Lalita Pawar|Durga Khote| , 9 wins , 12 March 1971 (India) , vdoMF0qwtAQ ,
 Koshish , tt0215911 , https://upload.wikimedia.org/wikipedia/en/thumb/3/30/KoshishFilmPoster.jpg/220px-KoshishFilmPoster.jpg , https://en.wikipedia.org/wiki/Koshish_(1972_film) , Koshish , Koshish ,0,1972,125, Drama ,8.6,1323, Romantic drama spaning nearly 20 years involving a deaf-mute couple  Haricharian and Aarti. Deaf and dumb bicycle messenger Haricharian meets equally deaf Aarti  and persuades her to go to sign language school to communicate with her mother and brother. The courtship leads to marriage and ultimately a child born to them. Years later  after the death of Aarti from a brief illness  Haricharian's teenage son tries to deal with the after effects as well as his history of being raised by two deaf parents when he begins courting another young girl who also happens to be deaf. , Romantic drama spaning nearly 20 years involving a deaf-mute couple  Haricharian and Aarti. Deaf and dumb bicycle messenger Haricharian meets equally deaf Aarti  and persuades her to go to ... ,  , Sanjeev Kumar|Jaya Bachchan|Asrani|Seema Deo|Om Shivpuri|Dina Pathak|Nitin Sethi|Atam Prakash|Urmila Bhatt|Master Chintu|Manjula|Mona Rajput|Nasir|Kamaldeep| , 2 wins & 5 nominations , 27 November 1972 (India) , vsfGsMGd0bw ,
 Pyaasa , tt0050870 , https://upload.wikimedia.org/wikipedia/en/9/93/Pyaasa_poster.jpg, https://en.wikipedia.org/wiki/Pyaasa_(1957_film) , Pyaasa , Pyaasa ,0,1957,146, Drama|Musical|Romance ,8.5,4767, Unemployed Vijay is the youngest in his family consisting of his widowed mom  and two brothers. His passion is poetry - frowned upon by his brothers - who want him to find gainful employment instead. Vijay's poems are quite radical in which he laments about the poor  the destitute  and the arrogance of the rich after the departure of the British from India. His efforts to get them published are in vain. He takes to drinking  gets in trouble with the law  is disowned by his brothers  ends up at a brothel and befriends a prostitute named Gulabo. Gulabo is sympathetic  listens to him as he pours his heart out  and decides to assist Vijay. Watch what happens when Gulabo approaches some of her affluent clientèle to assist Vijay and try and get his work published  without revealing that they are written by an alcoholic  disheveled  homeless man. , A talented but indigent poet Vijay struggles for love and recognition in this selfish world. ,  , Guru Dutt|Waheeda Rehman|Mala Sinha|Rehman|Johnny Walker|Kumkum|Leela Mishra|Shyam|Mehmood|Radheshyam|Tun Tun|Maya Dass|Moni Chatterjee|Ashita| ,  , 19 February 1957 (India) ,WJK45r-j6TU,125
 Masoom (1983 film) , tt0085913 , https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Masoom_1983.jpg/220px-Masoom_1983.jpg , https://en.wikipedia.org/wiki/Masoom_(1983_film) , Masoom , Masoom ,0,1983,165, Drama|Family|Musical ,8.5,3204, D.K. Malhotra lives a comfortable lifestyle with his wife  Indu  and two school-going daughters  Pinky and Minni. He works in the office of an Architect. One day while the family is relaxing  D.K. gets a phone call that results in him bringing home a young school-going boy by the name of Rahul. Indu is shocked to learn that Rahul is D.K.'s son from another woman  Bhavana  who is no more. D.K. does his best to make Rahul comfortable  but fails. Rahul also feels that Indu does not really like him  though Pinky and Minni have taken to him in a big way. Finally  D.K. decides to admit Rahul in a boarding school in far off Nainital. Rahul reluctantly goes along with this new-found uncle/friend. It is when Rahul is asked to put his papers together for school that Rahul finds out that D.K. is his biological father. Watch what happens when Rahul disappears from D.K.'s house  and the impact this has on D.K.  Indu  and her two daughters. , A happy family goes through turbulent times because of a big mistake by one of the family members. , Can this boy destroy your family? , Naseeruddin Shah|Shabana Azmi|Jugal Hansraj|Urmila Matondkar|Aradhana Srivastav|Saeed Jaffrey|Tanuja|Supriya Pathak|Satish Kaushik|Aziz Qureshi|Pran Talwar|Ram Gopal Bajaj|Anila Singh|A. Kukereja| , 5 wins & 2 nominations , 22 October 1983 (India) , g8KyTfOJ8Ww ,
 Sadma , tt0086230 , https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Sadmafilm.jpg/220px-Sadmafilm.jpg , https://en.wikipedia.org/wiki/Sadma , Sadma , Sadma ,0,1983,141, Romance ,8.5,2683, A young woman receives a head injury in an automobile accident and becomes like a six-year-old. She leaves the hospital unattended and ends up in a brothel. She is rescued by a young man who takes her to his home in the mountains. Meanwhile  her parents and the police are looking for her... , A head injury causes a woman to regresses to childhood. Lost and confused  she is eventually befriended by a school teacher. ,  , Kamal Haasan|Sridevi|Gulshan Grover|Silk Smitha|Paintal|Arvind Deshpande|Viju Khote|H.J. Imam|Birbal|Leela Mishra|Ashalata Wabgaonkar|Padma Chavan|Jansi|Iftekhar| , 2 nominations , 8 July 1983 (India) , aur0cHjPXnw ,
 Do Bigha Zamin , tt0045693 , https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Do_Bigha_Zamin.jpg/220px-Do_Bigha_Zamin.jpg , https://en.wikipedia.org/wiki/Two_Acres_of_Land , Do Bigha Zamin , Do Bigha Zamin ,0,1953,131, Drama ,8.4,1537, A small Bengali landowner and his young son are in danger when their two-acre farmland where they live is in danger of being taken over by a local zamindar (feudal lord) for failure to pay for mounting debits. They move to Calcutta where the father tries making a living as a rickshaw puller while his wife joins him but falls ill which threatens everything they have going to try to save their ancestorial home. , In the hope of earning enough money to pay off his debts and save his land  a poor farmer becomes a rickshaw puller in the Calcutta and faces many difficulties. ,  , Balraj Sahni|Nirupa Roy|Rattan Kumar|Murad|Rajlakshmi Devi|Nana Palsikar|Noor|Nasir Hussain|Rekha Mallick|Misra|Chitra|Jagdeep|Sarita Devi|Dilip Kumar Jr.| , 4 wins & 1 nomination , 1953 (India) , gLvP-G9AIas ,
 Jagte Raho , tt0049378 , https://upload.wikimedia.org/wikipedia/en/2/28/Jagte_Raho_1956_film_poster.jpg , https://en.wikipedia.org/wiki/Jagte_Raho_(1956_film) , Stay Alert , Jagte Raho ,0,1956,153, Comedy|Drama ,8.4,773, In hopes of improving his lifestyle  a poor peasant re-locates to Kolkata virtually penniless. It is late at night and he is thirsty  and he is unable to find water anywhere. A singing drunk offers him money to buy some alcohol  but the money is snatched away by a taxi-driver. In desperation  the peasant attempts to drink from a fire hydrant  but is stopped by a Police Constable. Then he sneaks into a multi-storied apartment complex  and is mistaken for a thief. The entire building  which consists of over 200 units  housing nearly a 1000 people  set out to hunt him down. He first stumbles into the house of Kailash - who makes illicit alcohol  while his daughter is secretly romancing another tenant  Pradeep; the peasant then runs into another apartment - just in time to see the husband attempting to steal his wife  Meenu's valuables  so that he can get enough money to gamble on a race-horse; he hides in a drum and makes his way around the huge building and ends up as a corpse at the ... , An innocent guy who has arrived from a village to Kolkata gets himself involved into trouble in search of water after he gets thirsty in the middle of the night. ,  , Pradeep Kumar|Sumitra Devi|Smriti Biswas|Pahadi Sanyal|Sulochana Chatterjee|Daisy Irani|Nemo|Motilal|Nana Palsikar|Iftekhar|Vikram Kapoor|Moni Chatterjee|Parsuram|Bhupendra Kapoor| , 1 win & 1 nomination , 1956 (India) , 72qLogUlJRQ ,
 Chupke Chupke , tt0072783 , https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Chupke_Chupke_1975.jpg/220px-Chupke_Chupke_1975.jpg , https://en.wikipedia.org/wiki/Chupke_Chupke , Chupke Chupke , Chupke Chupke ,0,1975,146, Comedy|Drama|Romance ,8.4,10409, Raghav brags that he can smell a rat or an impersonator automatically  and Dr. Parimal Tripathi decides to take him on - result: funny family slapstick comedy  with a dose of pure Hindi and Urdu thrown in  especially the dialogue delivery by Om Prakash  Dharmendra  and Amitabh Bachchan. Notable songs are :Sare ga ma  ma sa re ga ma....\ ; \ Ab ke sajan sawan me  aag lagegi badan mein  ghata barshegi  magar tarsegi nazar  mil na sakenghe do mahn ek hi aagan mein...\ ; \ Chupke chupke chal di purvaiya  basuri bajaike raas rachaye daiya re daiya  chupke...\ . , A newly wedded husband plays a practical joke on his wife's family with full support from his wife and friends. ,  , Dharmendra|Sharmila Tagore|Amitabh Bachchan|Jaya Bachchan|David Abraham|Usha Kiran|Lily Chakravarty|Keshto Mukherjee|Dev Kishan|Om Prakash|Lalita Kumari|Naina Apte|Chaitali|Aarti| ,  , 11 April 1975 (India) , jvHljUsjGbs ,
 Boot Polish (film) , tt0046799 , https://upload.wikimedia.org/wikipedia/en/thumb/3/31/Boot_Polish_1954_film_poster.jpg/220px-Boot_Polish_1954_film_poster.jpg , https://en.wikipedia.org/wiki/Boot_Polish_(1954_film) , Boot Polish , Boot Polish ,0,1954,149, Comedy|Drama|Family ,8.2,651, Toddlers Belu and Bhola share an uncertain future when their mom dies in the plague  and their dad is imprisoned. They are then left in the uncaring care of Kamla  their aunt  who moonlights as a prostitute. She is cruel abusive and forces them to take to a life of begging on the local trains  on beaches and crowded areas in Bombay. This is how the toddlers grow up  they want to lead a respectable life  and with the help of bootlegger John  they get a shoe-shine kit and start shining shoes on busy sidewalks and railway platforms. Their circumstances face more uncertainty when Kamla finds out about their new-found profession  beats them up and throws them out of the house. They temporarily seek shelter with John  but when he is arrested  they have to fend for themselves. Things become bad to worse when Bombay enters the monsoon season  when people do not get their shoes shined; then the duo are separated - with Belu ending up with a rich family  and when she asks about Bhola  she is ... , Preteen brother and sister  abandoned by their father to care of an abusive prostitute aunt  survive life in an Indian squatters' camp  aided by a friendly cripple  by learning to shine shoes instead of begging. ,  , Kumari Naaz|Rattan Kumar|David Abraham|Chand Burke|Veera|Bhupendra Kapoor|Shailendra|Mohanbali|Nissar|Bhudo Advani| , 4 wins & 1 nomination , 20 August 1958 (USA) , ukmpbL0KVww ,
 Ijaazat , tt0091256 , https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Ijaazat_%28movie_poster%29.jpg/220px-Ijaazat_%28movie_poster%29.jpg , https://en.wikipedia.org/wiki/Ijaazat , Permission , Ijaazat ,0,1987,137, Drama|Musical|Romance ,8.2,1180, Mahendra is in love with Maya and would like to marry her. But Maya is a woman of the 20th century  who does not believe in marriage  but would like to continue having a relationship. Mahendra's family pressures him into getting married  and he finally gives in and marries another woman by the name of Sudha. But Mahendra is unable to get Maya out of his mind  and his marriage with Sudha fails  and ends up with a formal separation. Years later  Mahendra and Sudha meet at a railway station  and both do remember each other  and share their experiences after their separation. There is one shocking experience that sudha does not share  but which Mahendra will find out soon. , Meeting accidentally five years after their divorce  a couple reflects on how their marriage collapsed despite transparency. ,  , Rekha|Naseeruddin Shah|Anuradha Patel|Ram Mohan|Sulabha Deshpande|Dina Pathak|Rita Rani Kaul|Ashok Mehta|Rajesh Bombaywala|Ashfaque Ahmed|Bhupinder Sharma|Sunil Advani|Bhaijee|Bhola| , 4 wins & 1 nomination , 8 July 1987 (India) , yRb3rUv5sHY ,
 Aandhi , tt0178186 , https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Aandhi.jpg/220px-Aandhi.jpg , https://en.wikipedia.org/wiki/Aandhi , Aandhi , Aandhi ,0,1975,133, Drama|Romance ,8.2,1254, J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter  Aarti  of a politician  and chooses to be discrete about it. When she recovers  she and he fall in love; get married in a small marriage ceremony  have a daughter  and thereafter differences arise to such an extent that they decide to separate. Years pass J.K. and Aarti meet again when she is an established politician  both are still attracted to each other  but she does not want her name to be tarnished and stigmatized as a \ separated\  woman. Songs including \ Is mod se jaatey hai\ ; \ Tere bina zindagi Se shikva toh nahin;\  and \ Tum aa gaye ho\  noor aa gaya hai\  sung by Kishore Kumar and Lata Mangeshkar. , J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter  Aarti  of a politician  and chooses to be discrete about it. When she ... ,  , Suchitra Sen|Sanjeev Kumar|Om Shivpuri|Manmohan|A.K. Hangal|Kamaldeep|C.S. Dubey|Ranvir Raj|Baldev Mehta|Madhup Sharma|Vinod Sharma|Baby Pinky|Ashok Saxena|Robert| , 3 wins & 3 nominations , 13 February 1975 (India) , wBYMGrThxkI ,
 Satya (1998 film) , tt0195231 , https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Satya_%281998%29.jpg/220px-Satya_%281998%29.jpg , https://en.wikipedia.org/wiki/Satya_(1998_film) , Satya , Satya ,0,1998,170, Action|Crime|Drama ,8.2,12053, A young man named Satya (J.D Chakravarthy) comes to Mumbai from South India in search of a job. Jailed for something he did not do  the once-honest young man meets an underworld boss  Bhiku Mhatre (Manoj Bajpai) in jail and joins his gang. He lives in a poor neighborhood  where he meets  Vidya (Urmila Matondkar)  who lives next door. She is not aware of his underworld connections. Satya slowly rises up the ranks of his gang  and becomes the most influential person. Satya is torn between his girlfriend and his gangster life. , An innocent man is embroiled in underworld after being falsely charged and sets out to punish the perpetrators who subjected his life to misery. , The other side of truth , J.D. Chakravarthi|Manoj Bajpayee|Urmila Matondkar|Paresh Rawal|Saurabh Shukla|Govind Namdeo|Makrand Deshpande|Shefali Shah|Raju Mavani|Aditya Srivastava|Neeraj Vora|Rajesh Joshi|Saabir|Snehal Dabi| , 11 wins & 7 nominations , 3 July 1998 (India) , tQ7gMwmnLT0 ,
 Hera Pheri (2000 film) , tt0242519 , https://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Hera_Pheri_2000_poster.jpg/220px-Hera_Pheri_2000_poster.jpg , https://en.wikipedia.org/wiki/Hera_Pheri_(2000_film) , Hera Pheri , Hera Pheri ,0,2000,156, Action|Comedy|Crime ,8.2,49963, Baburao is a landlord in India  who is very near-sighted  and always in financial trouble. He has a tenant named Raja  who has not paid his rent for several months. He also has anther tenant named Shyam  who has come to the city to look for a job in his late father's place  but is unable to find employment. The three men quarrel amongst themselves frequently. Then one day  the three men get a phone call from a kidnapper named Kabira  and decide to make use of this phone call to overcome their financial problems - pretend to be the real kidnappers  increase the ransom amount  keep the incremental amount for themselves  and then give the original ransom demanded to Kabira. Will they get away with this idea? , Three unemployed men find the answer to all their money problems when they receive a call from a kidnapper. However  things do not go as planned. ,  , Akshay Kumar|Sunil Shetty|Paresh Rawal|Tabu|Om Puri|Gulshan Grover|Kulbhushan Kharbanda|Mukesh Khanna|Asrani| , 7 wins & 3 nominations , 31 March 2000 (India) , p3bu7tf5Q1c ,
 Udaan (2010 film) , tt1639426 , https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Udaan_Movie_Poster.jpg/220px-Udaan_Movie_Poster.jpg , https://en.wikipedia.org/wiki/Udaan_(2010_film) , Udaan , Udaan ,0,2010,134, Drama ,8.2,39567, After being abandoned for eight straight years in boarding school  Rohan returns to the small industrial town of Jamshedpur and finds himself closeted with an authoritarian father and a younger half brother who he didn't even know existed. Forced to work in his father's steel factory and study engineering against his wishes  he strives to forge his own life out of his given circumstances and pursue his dream of being a writer. , Expelled from his school  a 16-year old boy returns home to his abusive and oppressive father. ,  , Rajat Barmecha|Ronit Roy|Manjot Singh|Ram Kapoor|Raja Hudda|Varun Khettry|Shashi Sharma|Khushkeran Singh Sandhu|Jayanta Das|Akantuk Sharma|Sahil Sahota|Aayan Boradia|Sonia Raisurana|Mohammad Nizam| , 13 wins & 13 nominations , 16 July 2010 (India) , EYSHtkhV7HE ,
 Shree 420 , tt0048613 , https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/Shree420Poster.jpg/220px-Shree420Poster.jpg , https://en.wikipedia.org/wiki/Shree_420 , Shree 420 , Shree 420 ,0,1955,168, Comedy|Crime|Drama ,8.1,2293, Wearing torn Japanese shoes  English trousers  a red Russian cap  and a Hindustani heart  orphaned Ranbir Raj comes to Bombay to make his fortune. He pawns his gold medal  gambles with the money  loses everything  & the balance is pick-pocketed. He ends up on the beach  meets with Vidya Shastri  a teacher who runs a private school  and both fall in love. Ranbir gets a job in a laundry. When he goes to deliver some clothes to Maya  she notices that he has a way with cards  gets him to accompany her to a casino of sorts  where he wins Rs.20000/-  which unfortunately is pocketed by Maya. Then a rich industrialist  Sonanand Dharmachand  approaches Ranbir  hires him to work for him  and soon Ranbir is on his way to a wealthy life. Vidya gets a first hand look at this wealthy life  and decides to break up with him. Sonachand teaches Ranbir that in order to make money one must never discriminate between the rich and poor. So they set out to offer homes to the homeless for Rs.100/-. Watch ... , Wearing torn Japanese shoes  English trousers  a red Russian cap  and a Hindustani heart  orphaned Ranbir Raj comes to Bombay to make his fortune. He pawns his gold medal  gambles with the ... ,  , Nargis|Raj Kapoor|Nadira|Nemo|Lalita Pawar|M. Kumar|Hari Shivdasani|Nana Palsikar|Bhudo Advani|Pesi Patel|Ramesh Sinha|Rashid Khan|Sheela Vaz|S.P. Berry| , 2 wins , 6 September 1955 (India) , R0UuULHKfco ,
 Madhumati , tt0050665 , https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Madhumati.jpg/220px-Madhumati.jpg , https://en.wikipedia.org/wiki/Madhumati_(1958_film) , Madhumati , Madhumati ,0,1958,110, Fantasy|Musical|Mystery ,8.1,1076, While driving his car on a rainy night  Anand's car breaks down  and he goes to seek shelter in a nearby house. He is let into the house by the servant  and he is permitted to stay until the rains stop be able to get his car fixed. It is here that he will find out about his previous birth  his true love  Madhumati  their ill-fated  star-crossed and tragic romance  and how events in his previous birth are going to effect him in this life-time. , While driving his car on a rainy night  Anand's car breaks down  and he goes to seek shelter in a nearby house. He is let into the house by the servant  and he is permitted to stay until ... ,  , Dilip Kumar|Vyjayanthimala|Johnny Walker|Pran|Jayant|Tiwari|Misra|Baij Sharma|Bhudo Advani|Jagdish|Sagar|Ranjit Sood|Shivji Bhai| , 10 wins & 3 nominations , 12 September 1958 (India) , kDiDP4l6u70 ,
 Naya Daur (1957 film) , tt0050758 , https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Nayadaur2.jpg/220px-Nayadaur2.jpg , https://en.wikipedia.org/wiki/Naya_Daur_(1957_film) , Naya Daur , Naya Daur ,0,1957,173, Drama|Musical|Romance ,8.1,970, Shankar lives in a remote village in rural India with his mother and sister  Manju  and drives a horse-carriage for a living. The main employer in the region is a kind-hearted businessman Maganlal. When Maganlal announces that he would like to undertake a religious pilgrimage  his son  Kundan  takes over and wants to cut back on labor and mechanize the business - thus leading to loss in jobs. He also introduces a bus thus taking away business from the horse-carriage drivers. This angers the community and they ask Kundan to reconsider  and he flats refuses - but agrees to withdraw the bus provided Shankar races it with his horse-carriage. Watch the action unfold as Shankar unites a divided village  and how he sets about to keep his faith in winning this race between man and machine. , Shankar lives in a remote village in rural India with his mother and sister  Manju  and drives a horse-carriage for a living. The main employer in the region is a kind-hearted businessman ... ,  , Dilip Kumar|Vyjayanthimala|Ajit|Chand Usmani|Jeevan|Nasir Hussain|Manmohan Krishna|Leela Chitnis|S.N. Banerjee|Pratima Devi|S. Nazir|Munshi Munakka|Ravikant|Sagar| , 3 wins , 15 August 1957 (India) , Nz3Ph-I8YPY ,
 Deewaar , tt0072860 , https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Deewar_poster.jpg/220px-Deewar_poster.jpg , https://en.wikipedia.org/wiki/Deewaar , Deewaar , Deewaar ,0,1975,174, Action|Crime|Drama ,8.1,9283, The movie tells the story of two brothers  Vijay and Ravi Verma  who follow different career paths: Vijay is a smuggler and Ravi the policeman who is asked to hunt Vijay down. Vijay Verma (Amitabh Bachchan) and Ravi Verma (Shashi Kapoor) are the sons of a trade unionist  Anand Verma(Satyen Kappu)  who was defeated and disgraced by the management of his firm using his family as bait. Unable to bear the public disgrace father deserts the family  and the sons are raised by their mother(Nirupa Roy)who brings them to Bombay City  who suffers the trials and tribulations of a poor single mother. Vijay Verma  the elder brother  grows up with an acute awareness of his father's humiliation and is victimized for his father's supposed misdeeds. In the process of fighting for his rights Vijay  who starts out as a boot polisher and becomes a dockyard worker in his youth  becomes a smuggler and a leading figure of the underworld. , Vijay struggles as a dockworker. Eventually  he becomes a leading figure of the underworld  while his younger brother  Ravi  is an educated  upright policeman. This divide causes problems in their relationship. ,  , Amitabh Bachchan|Shashi Kapoor|Nirupa Roy|Parveen Babi|Neetu Singh|Manmohan Krishna|Madan Puri|Iftekhar|Satyendra Kapoor|Sudhir|Rajpal|Jagdish Raj|Kuljit Singh|Raj Kishore| , 7 wins & 2 nominations , May 1979 (USA) , uQK7NG89IS8 ,
 Sparsh (film) , tt0079938 , https://upload.wikimedia.org/wikipedia/en/thumb/d/d4/Sparsh%2C_1980_Hindi_film.jpg/220px-Sparsh%2C_1980_Hindi_film.jpg , https://en.wikipedia.org/wiki/Sparsh_(film) , The Touch , Sparsh ,0,1980,145, Drama|Romance ,8.1,576, Anirudh Parmar is blind  but he does not let this impairment bind him down. He runs a school for the blind as a Principal. He meets with social worker  Kavita. Kavita is attracted to him  and he slowly also gets attracted to her. When marriage is proposed  both agree to marry each other. Then Anirudh starts having doubts whether this marriage is going to succeed  as he feels he is being patronized  and pittied. , Anirudh Parmar is blind  but he does not let this impairment bind him down. He runs a school for the blind as a Principal. He meets with social worker  Kavita. Kavita is attracted to him  ... ,  , Shabana Azmi|Naseeruddin Shah|Sudha Chopra|Mohan Gokhale|Pran Talwar|Arun Joglekar|Om Puri|Lakshman Tandon|Tapan Kumar Nandi|Arun Sachdev|Baladutt Sharma|Mukesh Gautam| , 4 wins & 2 nominations , 30 January 1980 (India) , v_AhJ997J0k ,
 Shiva (1990 film) , tt0248428 , https://upload.wikimedia.org/wikipedia/en/5/5d/Shiva_film.jpg , https://en.wikipedia.org/wiki/Shiva_(1990_film) , Shiva , Shiva ,0,1989,161, Action|Crime|Drama ,8.1,2804, Siva  a student  comes to Vijayawada from a nearby town to pursue his education. He lives with his brother Sharath's family  and enrolls in the VAS College of Arts and Sciences. Although Sharath and his daughter Keerthi get along well with Siva  his wife considers him a financial burden. Siva befriends a group of students and falls in love with Asha  sister of the honest police inspector Venkat. The college's (unopposed) student-union president  J. Durga Rao (known as J. D.) is the lowest rung in a gang ladder reaching through the gangster Ganesh to Bhavani  a crime boss. Bhavani uses the network to support his mentor Machiraju  a politician. Although J. D. is arrested many times  Bhavani continues to bail him out. When J. D. teases Asha on campus  Siva attacks him with a bicycle chain; a rivalry then develops between him and Ganesh. The incident encourages Siva's friends to ask him to stand for the student-union presidency  but he wants them to nominate Naresh (one of the group) ... , Shiva is disgusted by the corruption in and around his new college  and along with his friends  he decides to take a stand against the status quo. ,  , Nagarjuna Akkineni|Amala Akkineni|Raghuvaran|J.D. Chakravarthi|Murali Mohan|Subhalekha Sudhakar|Chinna|Tanikella Bharani|Jagan|Nirmalamma|Uttej|Ram Jagan|Raj Zutshi|Paresh Rawal| , 3 wins , 5 October 1989 (India) , 1V_3AQtZR2w ,
 Awaara , tt0043306 , https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Awaara_poster.jpg/220px-Awaara_poster.jpg , https://en.wikipedia.org/wiki/Awaara , Awaara , Awaara ,0,1951,193, Drama|Musical|Romance ,8,3185, Raju lives as a derelict as a result of being estranged from his bitter father  a district judge  who threw Raju's mother out of the house years ago. Raju shacks up with a Dacoit (pickpocket bandit) as his surrogate father only to realize that the man is actually responsible for the original misunderstanding between his parents. Raju kills him  and then tries killing his father  but fails  is arrested  and is taken to court right before his very own father  who presides there as the Judge. Raju has his childhood girlfriend as his legal representative  and the onus is now on his father  who must pass judgment without showing any personal sentiment. , Raju lives as a derelict as a result of being estranged from his bitter father  a district judge  who threw Raju's mother out of the house years ago. Raju shacks up with a Dacoit (... ,  , Prithviraj Kapoor|Nargis|Raj Kapoor|K.N. Singh|Shashi Kapoor|Cuckoo|B.M. Vyas|Leela Mishra|Baby Zubeida|Leela Chitnis|Honey O'Brien|Om Prakash Mehra|Raju|Mansaram| , 1 nomination , 7 April 1956 (USA) , u4mjCJaJe-g ,
 Devdas (1955 film) , tt0047990 , https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Devdas_1955_film_poster.jpg/220px-Devdas_1955_film_poster.jpg , https://en.wikipedia.org/wiki/Devdas_(1955_film) , Devdas , Devdas ,0,1955,159, Drama|Musical|Romance ,8,1580, Devdas and Parvati had been inseparable as children  and as they grew older  Love Blossomed. Devdas is sent away for studies by his parents - he and Parvati are separated. A chain of events lead to Parvati being married off to someone else and Devdas drowns his sorrows in alcohol. When Devdas is pronounced critical due to his drinking  he remembers the promise he had made to Parvati  of coming to see her before he dies. Will he fulfilled this promise or not? , Childhood sweethearts  Devdas and Paro grow up in a small village with a love-hate relationship which changes to love when they mature. Devdas' dad does not approve of his marriage or even any friendship with Paro  and sends him away to Calcutta where he is introduced to a dancer  Chandramukhi  who adores him and falls hopelessly in love with him. Devdas in not aware of Chandramukhi's affection ... ,  , Dilip Kumar|Vyjayanthimala|Motilal|Suchitra Sen|Nasir Hussain|Murad|Kanhaiyalal Chaturvedi|Moni Chatterjee|Iftekhar|Shivraj|Nana Palsikar|Ashim Kumar|Ram Kumar|Vikram Kapoor| , 3 wins , 30 December 1955 (India) , Hhf-oB52MSg ,
 Anari , tt0052560 , https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Anari59.jpg/220px-Anari59.jpg , https://en.wikipedia.org/wiki/Anari , Anari , Anari ,0,1959,166, Comedy|Drama|Musical ,8,608, Raj Kumar is an honest  handsome and intelligent young man to boot. He works as a sole Trader therefore a painter by trade  but unable to earn a living  and unable to pay rent to his kind-hearted but talkative landlady  Mrs. D'sa. One day Raj finds a wallet containing money  and he returns it to the owner  Ramnath. Ramnath admires Raj and pleased with his honesty employs him to work in his office as a Receptionist. Raj meets with Ramnath's maidservant  Asha  and soon both fall in love. This all ends when Raj finds out that Asha is really Aarti  the daughter of his employer. He then alienates himself from his employer and his daughter  and looks after his ailing landlady by cooking and serving her daily meals. Unfortunately  she passes away suddenly. The police conduct a post-mortem  and as a result find out that Mrs. D'sa was poisoned. Raj became the prime suspect and is subsequently taken for questioning  and is arrested and held in a cell. Later on Raj planned a narrow escape which ... , Raj Kumar is an honest  handsome and intelligent young man to boot. He works as a sole Trader therefore a painter by trade  but unable to earn a living  and unable to pay rent to his ... ,  , Raj Kapoor|Nutan|Lalita Pawar|Shubha Khote|Motilal|Mukri|Ashim Kumar|Nana Palsikar|Paul Mahendra|Brahm Bhardwaj|Vishwa Mehra|Ruby Mayer|Meena T.|Aruna| , 5 wins , 16 January 1959 (India) , sBA-OBCO0tw ,
